query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;abstract_generated_query;abstract_query_generator_model;abstract_source_hash;source_dataset_id;source_title;source_doi;source_portal_url;source_row
72;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Czech Republic during the 2000s, matching this research need: Monthly 2000 Czech public opinion survey data on party preferences, election participation and vote choice, trust in political leaders and institutions, democracy and EU attitudes, economic perceptions, religiosity, household living standard, region, and community size;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Czech Republic during the 2000s, matching this research need: Monthly 2000 Czech public opinion survey data on party preferences, election participation and vote choice, trust in political leaders and institutions, democracy and EU attitudes, economic perceptions, religiosity, household living standard, region, and community size
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Czech Republic during the 2000s, matching this research need: Monthly 2000 Czech public opinion survey data on party preferences, election participation and vote choice, trust in political leaders and institutions, democracy and EU attitudes, economic perceptions, religiosity, household living standard, region, and community size
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]";"[""Czech Republic""]";"[""2000"", ""2000""]";2000s;;;Monthly 2000 Czech public opinion survey data on party preferences, election participation and vote choice, trust in political leaders and institutions, democracy and EU attitudes, economic perceptions, religiosity, household living standard, region, and community size;gpt-5.4;2f4c1dd03645abe712e217fb3c359aef942e9c142bade997f2d1000cbbf79946;ZA3891;Party Preferences Czech Republic 2000 (Trend);"[""10.4232/1.3891""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3891&db=D;78
73;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1920s and 1930s, matching this research need: Voting-district-level election results for Kiel covering Reichstag elections in 1928, 1930, July and November 1932, plus Reich presidential elections in 1925 and 1932.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about HISTORY in German Reich (1871-1945) during the 1920s and 1930s, matching this research need: Voting-district-level election results for Kiel covering Reichstag elections in 1928, 1930, July and November 1932, plus Reich presidential elections in 1925 and 1932.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about HISTORY in German Reich (1871-1945) during the 1920s and 1930s, matching this research need: Voting-district-level election results for Kiel covering Reichstag elections in 1928, 1930, July and November 1932, plus Reich presidential elections in 1925 and 1932.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""HISTORY""]";"[""German Reich (1871-1945)""]";"[""1925"", ""1932""]";1920s and 1930s;;;Voting-district-level election results for Kiel covering Reichstag elections in 1928, 1930, July and November 1932, plus Reich presidential elections in 1925 and 1932.;gpt-5.4;e8f26baeaa827bab351ee5731261b0845d896d75b81384f698455d299b97668a;ZA8080;The Reichstag Elections and Reich Presidential Elections in Kiel 1925-1932;"[""10.4232/1.8080""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8080&db=D;80
74;Can you find datasets about International politics and organisations, Conflict, security and peace, Government, political systems and organisations, and Economic systems and development in Germany during the 1980s, matching this research need: Survey data on West Germans’ Cold War security attitudes: perceptions of the USA versus USSR, economic and military strength, values, foreign policy alignment, Andropov leadership change, news consumption, party sympathy, and demographics.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about International politics and organisations, Conflict, security and peace, Government, political systems and organisations, and Economic systems and development in Germany during the 1980s, matching this research need: Survey data on West Germans’ Cold War security attitudes: perceptions of the USA versus USSR, economic and military strength, values, foreign policy alignment, Andropov leadership change, news consumption, party sympathy, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about International politics and organisations, Conflict, security and peace, Government, political systems and organisations, and Economic systems and development in Germany during the 1980s, matching this research need: Survey data on West Germans’ Cold War security attitudes: perceptions of the USA versus USSR, economic and military strength, values, foreign policy alignment, Andropov leadership change, news consumption, party sympathy, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""International politics and organisations"", ""Conflict, security and peace"", ""Government, political systems and organisations"", ""Economic systems and development""]";"[""Germany""]";"[""1982"", ""1982""]";1980s;;;Survey data on West Germans’ Cold War security attitudes: perceptions of the USA versus USSR, economic and military strength, values, foreign policy alignment, Andropov leadership change, news consumption, party sympathy, and demographics.;gpt-5.4;fe6d4e4568dba06a1d841ca1fa265acc50ddabcdddf89ec173007dc4d364ca59;ZA1853;Attitudes to Security Policy in the Federal Republic (November - December 1982);"[""10.4232/1.1853""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1853&db=D;81
75;Can you find datasets about Crime and law enforcement, Legislation and legal systems, PSYCHOLOGY, Family life and marriage, Community, urban and rural life, Leisure, tourism and sport, Social behaviour and attitudes, Time use, Vocational education and training, and Employment in Duisburg during the 2000s, matching this research need: Longitudinal panel data on adolescent delinquency and victimization in Duisburg, tracking students from 7th and 9th grade into adulthood, with measures of school experiences, conflict behavior, crime attitudes, lifestyles, leisure, and consumption.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Crime and law enforcement, Legislation and legal systems, PSYCHOLOGY, Family life and marriage, Community, urban and rural life, Leisure, tourism and sport, Social behaviour and attitudes, Time use, Vocational education and training, and Employment in Duisburg during the 2000s, matching this research need: Longitudinal panel data on adolescent delinquency and victimization in Duisburg, tracking students from 7th and 9th grade into adulthood, with measures of school experiences, conflict behavior, crime attitudes, lifestyles, leisure, and consumption.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Crime and law enforcement, Legislation and legal systems, PSYCHOLOGY, Family life and marriage, Community, urban and rural life, Leisure, tourism and sport, Social behaviour and attitudes, Time use, Vocational education and training, and Employment in Duisburg during the 2000s, matching this research need: Longitudinal panel data on adolescent delinquency and victimization in Duisburg, tracking students from 7th and 9th grade into adulthood, with measures of school experiences, conflict behavior, crime attitudes, lifestyles, leisure, and consumption.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Crime and law enforcement"", ""Legislation and legal systems"", ""PSYCHOLOGY"", ""Family life and marriage"", ""Community, urban and rural life"", ""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Time use"", ""Vocational education and training"", ""Employment""]";"[""Duisburg""]";"[""2007"", ""2007""]";2000s;;;Longitudinal panel data on adolescent delinquency and victimization in Duisburg, tracking students from 7th and 9th grade into adulthood, with measures of school experiences, conflict behavior, crime attitudes, lifestyles, leisure, and consumption.;gpt-5.4;fe1e568711ae7aa07578f3d2e187266ae6efe2637214fdfe155a4b90ec643d70;ZA8859;Crime in the Modern City 2007;"[""10.4232/1.14600""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8859&db=D;82
76;Can you find datasets about Social behaviour and attitudes, Media, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic policy, public expenditure and revenue, and Economic systems and development in Germany during the 2010s, matching this research need: German election campaign survey data on political attitudes, vote intention and behavior, party and candidate evaluations, issue positions, media use, social networks, trust, economic perceptions, and detailed demographics around the 2013 federal/state elections;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Social behaviour and attitudes, Media, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic policy, public expenditure and revenue, and Economic systems and development in Germany during the 2010s, matching this research need: German election campaign survey data on political attitudes, vote intention and behavior, party and candidate evaluations, issue positions, media use, social networks, trust, economic perceptions, and detailed demographics around the 2013 federal/state elections
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Social behaviour and attitudes, Media, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic policy, public expenditure and revenue, and Economic systems and development in Germany during the 2010s, matching this research need: German election campaign survey data on political attitudes, vote intention and behavior, party and candidate evaluations, issue positions, media use, social networks, trust, economic perceptions, and detailed demographics around the 2013 federal/state elections
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Social behaviour and attitudes"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]";"[""Germany""]";"[""2015"", ""2015""]";2010s;;;German election campaign survey data on political attitudes, vote intention and behavior, party and candidate evaluations, issue positions, media use, social networks, trust, economic perceptions, and detailed demographics around the 2013 federal/state elections;gpt-5.4;155cde1294fc203cc1a40a7eecdc3767986c068ce979ec4db6c47a4cecf7b9f7;ZA5727;Long-term Online Tracking, T27 (GLES);"[""10.4232/1.12282"", ""10.4232/1.12213""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5727&db=D;84
77;Can you find datasets about Higher and further education, Social behaviour and attitudes, and Political behaviour and attitudes in Uruguay during the 1960s, matching this research need: student attitudes toward political, social, and economic issues, educational problems, views on the elite in the Third World, with demographic variables such as age, sex, religion, education, occupation, household status, and social class;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Higher and further education, Social behaviour and attitudes, and Political behaviour and attitudes in Uruguay during the 1960s, matching this research need: student attitudes toward political, social, and economic issues, educational problems, views on the elite in the Third World, with demographic variables such as age, sex, religion, education, occupation, household status, and social class
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Higher and further education, Social behaviour and attitudes, and Political behaviour and attitudes in Uruguay during the 1960s, matching this research need: student attitudes toward political, social, and economic issues, educational problems, views on the elite in the Third World, with demographic variables such as age, sex, religion, education, occupation, household status, and social class
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Higher and further education"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes""]";"[""Uruguay""]";"[""1966"", ""1966""]";1960s;;;student attitudes toward political, social, and economic issues, educational problems, views on the elite in the Third World, with demographic variables such as age, sex, religion, education, occupation, household status, and social class;gpt-5.4;264416ecceab8f65460e75c6f494beb107ef86db032f88a989c8dfaa03d4cd86;ZA0401;Comparative National Development Project (Uruguay);"[""10.4232/1.0401""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0401&db=D;85
78;Can you find datasets about Religion and values, Social behaviour and attitudes, Political behaviour and attitudes, Government, political systems and organisations, SOCIAL STRATIFICATION AND GROUPINGS, Family life and marriage, and Economic systems and development in United Kingdom during the 1990s, matching this research need: European survey data on moral, religious, political, work, family, and social values, including attitudes toward democracy, immigrants, gender roles, religion, trust, well-being, post-materialism, and demographics.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Religion and values, Social behaviour and attitudes, Political behaviour and attitudes, Government, political systems and organisations, SOCIAL STRATIFICATION AND GROUPINGS, Family life and marriage, and Economic systems and development in United Kingdom during the 1990s, matching this research need: European survey data on moral, religious, political, work, family, and social values, including attitudes toward democracy, immigrants, gender roles, religion, trust, well-being, post-materialism, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Religion and values, Social behaviour and attitudes, Political behaviour and attitudes, Government, political systems and organisations, SOCIAL STRATIFICATION AND GROUPINGS, Family life and marriage, and Economic systems and development in United Kingdom during the 1990s, matching this research need: European survey data on moral, religious, political, work, family, and social values, including attitudes toward democracy, immigrants, gender roles, religion, trust, well-being, post-materialism, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Religion and values"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage"", ""Economic systems and development""]";"[""United Kingdom""]";"[""1999"", ""1999""]";1990s;;;European survey data on moral, religious, political, work, family, and social values, including attitudes toward democracy, immigrants, gender roles, religion, trust, well-being, post-materialism, and demographics.;gpt-5.4;b9d000cd6abd9e3c303e05814d966853fce03c6bbefe7f76d0406e540eee30c2;ZA3777;EVS - European Values Study 1999 - Great Britain;"[""10.4232/1.11535"", ""10.4232/1.3777"", ""10.4232/1.11172""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3777&db=D;87
79;Can you find datasets about Social conditions and indicators and Youth in Germany during the 1980s, matching this research need: Survey data on adults in West Germany covering moral values, life experiences, memories of the 1950s and postwar period, parenting, youth-group affiliation, religion, and political attitudes with detailed demographic variables.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Social conditions and indicators and Youth in Germany during the 1980s, matching this research need: Survey data on adults in West Germany covering moral values, life experiences, memories of the 1950s and postwar period, parenting, youth-group affiliation, religion, and political attitudes with detailed demographic variables.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Social conditions and indicators and Youth in Germany during the 1980s, matching this research need: Survey data on adults in West Germany covering moral values, life experiences, memories of the 1950s and postwar period, parenting, youth-group affiliation, religion, and political attitudes with detailed demographic variables.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Social conditions and indicators"", ""Youth""]";"[""Germany""]";"[""1984"", ""1984""]";1980s;;;Survey data on adults in West Germany covering moral values, life experiences, memories of the 1950s and postwar period, parenting, youth-group affiliation, religion, and political attitudes with detailed demographic variables.;gpt-5.4;5b9118dcde138b78bd7e9d5bcd1fadb480a643c0370c7e1fce2975c6f311f0e4;ZA1439;Young People and Adults '85 (Adult);"[""10.4232/1.1439""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1439&db=D;88
80;Can you find datasets about Economic systems and development in Malta during the 2000s, matching this research need: data on Malta after adopting the euro, including public attitudes, economic and social effects, and experiences following the currency changeover;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Economic systems and development in Malta during the 2000s, matching this research need: data on Malta after adopting the euro, including public attitudes, economic and social effects, and experiences following the currency changeover
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Economic systems and development in Malta during the 2000s, matching this research need: data on Malta after adopting the euro, including public attitudes, economic and social effects, and experiences following the currency changeover
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Economic systems and development""]";"[""Malta""]";"[""2008"", ""2008""]";2000s;;;data on Malta after adopting the euro, including public attitudes, economic and social effects, and experiences following the currency changeover;gpt-5.4;a6ed40907a30f8e3a89f9dbfde17da73ed185860416915280233b052988aaa0a;ZA4809;Flash Eurobarometer 223 (Euro Introduction in Malta);"[""10.4232/1.4809""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4809&db=D;89
81;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on East German TV audience participation and viewing behavior, including evaluations of specific broadcasts, TV films and series, entertainment hosts, holiday programming, and demographics such as age, gender, education, occupation, party membership, and reception conditions.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on East German TV audience participation and viewing behavior, including evaluations of specific broadcasts, TV films and series, entertainment hosts, holiday programming, and demographics such as age, gender, education, occupation, party membership, and reception conditions.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on East German TV audience participation and viewing behavior, including evaluations of specific broadcasts, TV films and series, entertainment hosts, holiday programming, and demographics such as age, gender, education, occupation, party membership, and reception conditions.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1986"", ""1986""]";1980s;;;Survey data on East German TV audience participation and viewing behavior, including evaluations of specific broadcasts, TV films and series, entertainment hosts, holiday programming, and demographics such as age, gender, education, occupation, party membership, and reception conditions.;gpt-5.4;39ceb2c591795d02380dc5b5b9c5ed8d35facdc8ed0348694b759e0ed95d19fa;ZA7226;Sofortresonanzen DDR Fernsehen 21. Woche 1986 (SFR 21/86);"[""10.4232/1.10467""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7226&db=D;91
82;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1910s and 1920s and 1930s, matching this research need: Data on Weimar Republic Germany parliamentary elites: collective biographies of leading legislators including education, occupation, political functions, state parliament roles, organizational memberships, emigration, persecution, protest, and career trajectories.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about HISTORY in German Reich (1871-1945) during the 1910s and 1920s and 1930s, matching this research need: Data on Weimar Republic Germany parliamentary elites: collective biographies of leading legislators including education, occupation, political functions, state parliament roles, organizational memberships, emigration, persecution, protest, and career trajectories.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about HISTORY in German Reich (1871-1945) during the 1910s and 1920s and 1930s, matching this research need: Data on Weimar Republic Germany parliamentary elites: collective biographies of leading legislators including education, occupation, political functions, state parliament roles, organizational memberships, emigration, persecution, protest, and career trajectories.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""HISTORY""]";"[""German Reich (1871-1945)""]";"[""1919"", ""1933""]";1910s and 1920s and 1930s;;;Data on Weimar Republic Germany parliamentary elites: collective biographies of leading legislators including education, occupation, political functions, state parliament roles, organizational memberships, emigration, persecution, protest, and career trajectories.;gpt-5.4;9581503e1a35c5e2ffe97b2a60e59d1b5db27745296f20f7c773def54373276e;ZA8007;Representatives in the Reichstag in the Weimar Republic 1919-1933;"[""10.4232/1.8007""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8007&db=D;92
83;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on radio listening in Berlin, including station choice, listening times and frequencies, regional broadcasters, and audience evaluations and listening frequency of the program Berliner Luft, with demographic variables.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on radio listening in Berlin, including station choice, listening times and frequencies, regional broadcasters, and audience evaluations and listening frequency of the program Berliner Luft, with demographic variables.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on radio listening in Berlin, including station choice, listening times and frequencies, regional broadcasters, and audience evaluations and listening frequency of the program Berliner Luft, with demographic variables.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1989"", ""1989""]";1980s;;;Survey data on radio listening in Berlin, including station choice, listening times and frequencies, regional broadcasters, and audience evaluations and listening frequency of the program Berliner Luft, with demographic variables.;gpt-5.4;1d008f3890a7e2b0d7ccb4a33a90420af32d35452a59d0e8860a9367f21cf3d8;ZA6543;Auditory Participation February 1989 Supplement: „Berliner Luft“;"[""10.4232/1.6543""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6543&db=D;93
84;Can you find datasets about Social behaviour and attitudes, Medication and treatment, Specific diseases, disorders and medical conditions, Language and linguistics, International politics and organisations, and Political behaviour and attitudes in Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, Great Britain, Northern Ireland, Austria, Sweden, and Finland during the 1990s, matching this research need: Survey data on European citizens’ attitudes toward the EU, knowledge of EU civil rights, trust in European institutions, views on integration, plus women’s breast cancer screening behavior, beliefs, information sources, and demographics.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Social behaviour and attitudes, Medication and treatment, Specific diseases, disorders and medical conditions, Language and linguistics, International politics and organisations, and Political behaviour and attitudes in Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, Great Britain, Northern Ireland, Austria, Sweden, and Finland during the 1990s, matching this research need: Survey data on European citizens’ attitudes toward the EU, knowledge of EU civil rights, trust in European institutions, views on integration, plus women’s breast cancer screening behavior, beliefs, information sources, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Social behaviour and attitudes, Medication and treatment, Specific diseases, disorders and medical conditions, Language and linguistics, International politics and organisations, and Political behaviour and attitudes in Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, Great Britain, Northern Ireland, Austria, Sweden, and Finland during the 1990s, matching this research need: Survey data on European citizens’ attitudes toward the EU, knowledge of EU civil rights, trust in European institutions, views on integration, plus women’s breast cancer screening behavior, beliefs, information sources, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Social behaviour and attitudes"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions"", ""Language and linguistics"", ""International politics and organisations"", ""Political behaviour and attitudes""]";"[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Great Britain"", ""Northern Ireland"", ""Austria"", ""Sweden"", ""Finland""]";"[""1997"", ""1997""]";1990s;;;Survey data on European citizens’ attitudes toward the EU, knowledge of EU civil rights, trust in European institutions, views on integration, plus women’s breast cancer screening behavior, beliefs, information sources, and demographics.;gpt-5.4;a04ca391aa60273afa7a14033502bfefa77891a72adc1d70728548f69bb7f702;ZA2937;Eurobarometer 47.2 (Apr-Jun 1997);"[""10.4232/1.10927"", ""10.4232/1.2937""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2937&db=D;94
